,prob
6557,0.00011598596192907491
8972,0.0054304588127336954
5690,0.003305674257938741
3327,0.016839181213186342
3495,0.0009045671365816314
8135,0.0005080600617853841
2349,0.03695533207547615
6015,0.14162749903380453
3389,0.02381192100699472
8782,0.001576371386414415
5088,0.004624721797888942
2047,0.02845106158461567
4455,0.013288528793891651
8594,0.04158806563750253
6877,0.009304889760877807
8308,0.0026122782793601123
6966,0.018259525331069296
4282,0.45175745574803605
7577,0.002095639427158353
1976,0.004707118340213042
6733,0.0022367624322233246
2190,0.264711623101423
164,0.0021113809718755804
4792,0.006360018112073209
4670,0.0040763105853254865
1555,0.17268357599090148
3415,0.41784940148109506
7761,0.0037684281187453667
1841,0.0027463069544797635
8870,0.00031985592136300945
7459,0.0007825154983761438
860,0.1297559861180639
8010,1.559665442122215e-05
3663,0.010291701894170209
2175,0.0013398979066667914
1387,0.010432100459953814
5975,0.030327603066624496
6402,0.0005100729111096991
7239,0.002719625953201334
3594,0.026324240187707394
3843,0.08057643583158108
7586,0.00025318364877321444
6737,0.0766466827361673
2538,0.032000164885490186
1256,0.0032071686598742584
6016,0.08471900859592647
1247,0.5545248012736766
454,0.20155280254798624
6042,0.0007071010746731563
4843,0.001246127695575914
5084,0.03415591264355371
5855,0.41453948302944044
8297,0.021026041010529826
7687,0.00043513646656096773
5280,0.023757336447768295
9073,0.9797540764503571
338,0.0840852428740349
7311,0.13808028229816297
7418,0.020000740496619176
4611,0.03684922904807141
5750,0.0009358549915247878
4820,0.0003371412016620218
4064,0.4159236380904368
4430,0.07253284373726401
5919,9.174948480554398e-05
7658,7.296364646129351e-05
3762,0.016822764185274564
5073,0.0003691882288684482
8082,0.007146654195257359
53,0.0024596771858238086
603,0.20467474543005135
1640,0.3812790548956767
3344,0.7361220724856765
1686,0.0052465757660384305
1663,0.0014367491957681044
5053,0.2152941075154938
1262,0.02310073711199319
8370,0.004717888576169171
2203,0.2793993215817768
4973,0.00026896893539703724
3147,0.11467292205913535
992,0.00030546385621410636
951,0.1448419753418002
7737,0.00026094205876341694
8702,0.0012864415181700838
5139,0.0012798675116317017
4164,0.0024739337861188196
4642,0.0002815486374909252
6229,0.008261387498827242
515,0.024987324625593
2506,0.05581083552868761
8692,0.05055622891853091
6541,0.006401870415175264
2454,0.13823702272948382
7314,0.0007697987806041688
1724,0.003092522516049558
1120,0.13664221499864132
3472,0.24702996708198802
9035,0.7813683539423152
1887,0.15739090821402396
3747,0.00014851390011759617
5892,0.28838528944382746
4521,0.006213503663265592
4688,0.001142409249464641
6971,0.0004118180192789642
4360,0.004628662386233469
3170,0.030480950530224055
8953,0.28986776280298254
7355,0.22010988828521408
8504,0.034146005969364346
7287,0.01101456557524356
6241,0.1608778979175886
8360,0.00045152588727369997
6024,0.0019751929060182844
6981,0.01938003725834903
417,0.01830908647683411
1980,0.009354374390518245
7860,0.017806686354680072
2105,0.0010099481262121443
2703,0.031264865327050535
4300,7.751124623046349e-05
8425,5.338630959926619e-05
8358,0.0005721190470668652
7486,0.0030088232463080385
4133,0.35036163076873217
2983,0.0696536235037805
8958,0.00013298607505972518
7343,0.0006372079501108987
6996,0.0029294137954012857
8403,0.001488972640040285
1664,0.12549996768066926
7240,0.00044016196298971396
8150,0.0012727999633790831
6293,0.0003486228945639131
7190,2.7881380939868296e-05
8818,2.1433981543910664e-05
4976,0.0003691882288684482
3354,0.004182950248143415
3943,0.13917555994230824
5032,0.00043133955759042526
4361,0.00043415282287473004
5759,0.001698151794432507
154,0.004630710973765697
5622,0.12282508211928393
4867,0.007350555164513725
1607,0.0025275731945401158
2786,0.006455566022111786
6898,0.005606900495939546
3701,0.016212321304688738
5618,0.0003060335811300211
7196,0.07685226975168095
8474,0.005390509774646861
6030,0.013398539643901556
1920,0.03859554580953875
2811,0.19760700309738785
4212,0.006388642085136853
2243,0.0009312495562563227
768,0.013435871975082229
6924,0.007904484217972338
6941,0.01235554169410246
8762,0.1290270488695684
3335,0.03536411844684157
6233,0.10517295142497739
6103,0.20640122205735245
8258,6.932674338605467e-05
1050,0.0046710459758436615
189,0.0437232975625393
8741,0.0006553428249260709
5423,0.0007307081395967143
7509,0.0033764100121357016
886,0.027814798230290035
5222,0.0023310699914304922
5232,0.017210445919422192
4363,0.00015202096022766173
8657,0.0012826857413151028
7385,0.3326233092644358
987,0.00040811002551842905
1136,0.012354557028137017
8841,0.008300925525026774
920,0.008803410202890447
5895,0.0016367439683290363
7307,0.5753848975965946
832,0.00240696561083605
8069,0.0027985095250076418
7419,0.0018375159815102987
3462,0.20891515577912198
3108,0.6199048203674771
7218,0.007985020357734704
6957,0.001246208895397544
8747,0.0011632290868962372
7916,0.0008026529883805329
5063,0.0008427345147305091
3687,0.0003412009386014689
6635,0.046298430768236115
153,0.0618059068909709
1899,0.11101223840681536
1834,0.019037656639557903
2790,0.038658525057392236
5136,0.0025063414491651634
8956,0.0007013246430799402
7587,3.375321465332047e-05
671,0.0021715763148746725
5383,0.00045204909458379267
3609,0.058876391948936506
8864,0.0021451000258807286
8207,5.6936672165630635e-05
3972,0.13143825672615045
8684,0.29195473644093944
5616,0.002927638065294251
385,0.0017497198560549338
7833,0.015672871619106344
963,0.0029297158661136177
3020,0.1283393395981885
4835,0.09955464293346233
638,0.0012161961349385362
1276,0.03041897077392053
519,0.5537653643569076
9018,0.18264945665077403
7147,0.004347040055683122
699,0.017854892227029184
2089,0.586992734081359
5626,0.001379248311997485
914,0.42158116841830223
6230,0.00014618867086314992
4426,0.0050119578970678385
3359,0.004199003141959053
7164,0.006576591128145086
974,0.1599844720278648
2065,0.026252042854610243
7984,0.0026624663771384442
3993,0.04527874672436426
3990,0.039858955912645024
1843,0.0005029320821902379
5732,0.0002485389784180161
966,0.46407111037446647
8483,0.04326009773001115
7402,0.005154352940613642
4846,0.0008763817036911693
628,0.002686035288356452
3486,0.4499955677477612
125,0.0006154632189247042
5352,0.04612126110996429
8172,0.035075080266364814
1857,0.0021416565872523284
792,0.0356919983503779
7892,0.010032660733277259
1648,0.002947794816209243
4124,7.538840917989022e-05
663,0.1114122871016708
5298,0.03829373897528767
7266,0.005773600266353897
3584,0.0275537651357186
7182,0.003808819273460161
2604,2.2629687654286123e-05
5181,0.17109481337051832
2193,0.01714834434501353
6283,0.00044880699521134655
2162,0.00387981503438503
2322,0.00039623667757522846
3741,0.0050124795660337245
6668,0.00037090658999354995
8547,0.0023320888758422823
7312,0.07311495716344785
7092,0.006697372239398863
8481,0.0010323084571378532
536,0.11897889415591928
5188,0.00937932491797869
3294,0.00011742000592493422
5115,0.004624211495636963
6122,0.002351678077993875
4675,0.9230629177184698
6038,0.008372274315272148
7004,4.913210406398204e-05
1571,0.02839546236322098
4673,0.09111048075259509
6028,0.0006877179726046035
851,0.003349005262739116
2428,0.10151565827599354
946,0.705193654518131
4854,0.01876271261367266
5506,0.0002717472138642939
8745,0.01359191346639246
8295,0.01864072689870058
6856,0.005369016703486431
2712,0.007343604957219492
3507,0.000462563500463743
8550,0.0002517595221176349
537,0.09624471416051829
980,0.6981109212142294
28,0.00047940992240898516
7192,0.07029712082988143
7585,0.001299003025250461
8448,0.00394373886449339
3239,0.0012940699030909776
1301,0.05000512703357162
7270,0.32506039671054776
2219,0.003529174849395745
2914,0.013224029923245118
2752,0.0009187847370724978
1331,0.020469497222034415
5727,0.0005235930515574656
7805,0.07721268638630163
2935,0.011377231286944614
7849,0.009983769213620739
3510,0.022077194665643403
8815,0.013904779917002931
4735,0.00041499000540810805
2667,0.026021914663834165
3345,0.2788345880652982
6964,0.0005054615919748512
6588,0.00041354575814462995
2854,0.0005451590645483133
362,0.0141880387775414
8159,4.674621645814151e-05
5109,0.00020554094717904162
8152,0.024302373409791606
4548,0.07143043602511691
7098,0.03217568161562089
4543,0.46699729830312037
260,0.5067202956812634
924,0.00677481843970056
5915,0.00011873879530572682
6369,0.0009915983547422761
588,0.04726352607371914
4849,0.035130706794010536
64,0.05927367235750597
2511,0.16030953443353432
6002,0.0029582575811622374
4780,0.000767014531399052
7513,0.00010739232387833858
4895,0.02368847925609596
3325,0.0002813879293535377
7069,0.0029952302083472177
2382,0.4372137998637513
3531,0.005326722957110979
477,0.06386991375523277
171,0.000719073245344688
6335,0.004656855015758542
8983,0.0042082896427338215
4892,2.628334432530163e-05
4831,0.32798973004086557
614,0.4940222763764109
6376,0.02074181629688076
5393,0.0011089951293611735
2871,0.0010246343543119014
4807,0.00011945399627950484
8928,0.00223391215736226
5126,0.012951316859360434
1585,0.09132230176647536
5575,0.0025618862311340964
6937,0.014468453288484326
7970,0.00043620422386826647
5619,0.00010218379243483118
4636,9.965972172326743e-05
3004,0.029438615461159605
8533,0.1605295416623346
2204,0.0026684221363183964
7409,0.0066243542487686565
830,0.319515722226596
3057,0.03937882989296169
6320,0.022999762671769095
8290,0.0004933225022940698
2383,0.20810331358732556
7253,0.15779124251806367
2074,0.1388027718326979
5868,0.010684903286965506
2853,0.03856363233950706
5158,0.02075770467030738
3845,0.0057511357261222605
5355,0.0006735102493927029
1148,0.011736840411443987
1761,0.011618386781435699
6471,0.021574866245158447
8478,0.00749032100587229
5625,0.2922323145304257
3205,0.0005300267160708929
5450,6.380778354325767e-05
6446,0.0007333015902984257
4111,0.05593706553131654
1296,0.2536420964960305
814,0.018931442326440163
1771,0.0021055359543364267
8162,0.07648156027660306
1285,0.09995112480692078
2050,0.06722632901850918
2108,0.0047823808872140714
4544,0.02552801265246082
6528,0.0007588577477445902
667,0.053311150290500375
8529,0.0067451305670034045
6959,0.004064688478864334
7102,0.03780546845660289
2747,0.02463974250225627
7026,0.0004494197184495249
5585,0.0003716790247767998
7827,0.0031523813853044755
2205,0.017693495364358908
1917,0.002919924300407172
8359,0.0318040033207689
6819,0.4125234781429085
3983,0.12460682920814045
2624,0.0720660885437839
5545,0.0006508221900197898
2679,0.0048007419727108735
3953,0.0003489234592442404
4389,0.006702507495960111
1828,0.14022243652857644
5016,0.0029819168368281144
3342,0.49483766792133366
6514,0.9483262283277875
8176,0.000697608349923906
4014,0.10869358505987475
3930,0.06091730128485821
1619,0.15441359911541377
7721,0.5180268882527161
3675,0.0291864680721545
884,0.722458301859489
2931,0.009708969458127053
8262,0.060561989464300275
7125,0.011708800239273086
2736,0.00258991257098734
1906,0.0002640484494449212
8445,0.19548448707226623
2839,0.042672541482492075
1622,0.00014961179647893114
5034,0.008200669131984483
1524,0.013404697988041128
995,0.0494696483520461
5655,0.005684514094223455
8375,0.002058918648162587
1065,0.01697328937266032
934,0.21952063800721272
1863,0.1760067269666442
4711,0.00013659604916026188
4495,0.014245338125506836
5301,0.035016568689358075
2612,0.002716945017068908
5877,0.00032785813196637803
3776,0.18637854030308815
8164,0.011054714614402267
5534,0.0016191995649447904
3363,0.05632383911585689
954,0.24949541991732388
7858,2.1589404377778783e-05
6344,0.003988876844332404
7574,0.0016763042912375625
36,0.02243193256138591
8581,0.0011430868857905346
7776,0.0013117754448597366
7114,0.00679005325205762
8882,0.14069363534611656
513,0.0008227867305724853
201,0.46663546884454293
2976,0.03316663881992526
1389,0.04046353539545534
310,0.18297004367372313
8106,0.000328168951050642
8352,0.09302804043604951
3430,0.015215610685673623
4444,0.011687921932429006
54,0.0009749466952228904
4893,0.00672042766888193
4887,0.002688427255692765
6534,0.00470030767794293
1341,0.20585615088361323
1645,0.1735332240244408
4729,0.04243019780385786
1154,0.03227549408185203
6469,0.007895311926703645
404,0.03648866739616371
7320,0.04608961944840353
294,0.00845060585214095
7643,0.10201657594522787
5315,0.08817122465887299
8371,0.006736054943165451
4802,0.0018687936149838396
2188,0.004372497814560357
7511,0.0016302866940704269
6617,0.00013341164104140879
4265,0.06894961591683815
4926,0.00308344012280337
5172,6.45890593555785e-05
6387,0.0059216039328151
5954,0.0006862196172656733
3124,0.003952370464779778
7578,0.0001625659613042429
3086,0.0001729831898488628
2482,0.001997872148467142
5299,6.226268276848484e-05
5560,0.020137296034140193
8332,0.02055919797808321
5565,0.00016479963385236874
6150,0.5392770147908459
206,0.05241606503791691
6077,0.13197785759804478
8379,0.0013132308331064437
4572,0.05524331042417669
9039,0.8452147887073802
4345,0.0015648695034772753
609,0.00021733058774236162
7555,0.004586433453359189
5988,5.563435015432973e-05
3894,0.13786352495911577
1386,0.09351412318637813
2953,0.0012992497718652847
5287,0.0012054281843521552
5765,0.002374433924674488
7765,0.002049232863349139
8240,0.0038826963495923656
3329,0.010460950376089836
1757,0.16477145575956723
6609,0.0006077025629757654
224,0.0002408113481275905
6709,0.007897350943647227
1453,0.0854697816339465
5342,0.0014732178351589637
5445,0.06069735444654701
5881,0.8212701090763651
6600,0.0023500356590135107
10,8.716109719824399e-05
938,0.0463541994307153
8555,0.0005225358389130664
7483,0.000516459152338529
3726,0.0036335321374298384
8926,0.024442550389488026
3051,0.13119787495529303
1098,0.030699614027446826
3798,0.0001567412891284812
8863,0.5634782521154701
6878,0.0018989563376798004
3763,0.002825282383337999
5249,0.1129170629692872
262,0.10213161167751245
1318,0.0054935791648638745
4621,0.08278274014469293
